function_id,distracting_function,go_target_code,target_name,input
13,"def make_hiring_decision(technical_score, experience_years, education_level, interview_scores, references, salary_expectation, budget):
    education_points = {
        ""phd"": 5, ""masters"": 4, ""bachelors"": 3, ""associates"": 2, ""high_school"": 1, ""other"": 1
    }
    
    edu_score = education_points.get(education_level, 1)
    avg_interview = sum(interview_scores) / len(interview_scores) if interview_scores else 0
    interview_consistent = max(interview_scores) - min(interview_scores) <= 2 if interview_scores else False
    
    reference_count = len(references)
    positive_references = sum(1 for ref in references if ref >= 4)
    reference_ratio = positive_references / reference_count if reference_count > 0 else 0
    within_budget = salary_expectation <= budget
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        basic_qualified = technical_score >= 70 and experience_years >= 2 and avg_interview >= 3
        return basic_qualified and within_budget
    else:
        total_score = 0
        total_score += min(technical_score / 10, 10)
        total_score += min(experience_years, 10)
        total_score += edu_score
        total_score += avg_interview * 2
        total_score += reference_ratio * 5
        
        if interview_consistent: total_score += 2
        if reference_count >= 3: total_score += 1
        if salary_expectation < budget * 0.9: total_score += 2
        
        return total_score >= 35 and within_budget","func MakeHiringDecision(technicalScore int, experienceYears int, educationLevel string, interviewScores []float64, references []int, salaryExpectation int, budget int) bool {
	educationPoints := map[string]int{
		""phd"":        5,
		""masters"":    4,
		""bachelors"":  3,
		""associates"": 2,
		""high_school"": 1,
		""other"":      1,
	}
	eduScore, ok := educationPoints[educationLevel]
	if !ok {
		eduScore = 1
	}
	var avgInterview float64
	if len(interviewScores) > 0 {
		sum := 0.0
		for _, v := range interviewScores {
			sum += v
		}
		avgInterview = sum / float64(len(interviewScores))
	}
	interviewConsistent := false
	if len(interviewScores) > 0 {
		maxVal, minVal := interviewScores[0], interviewScores[0]
		for _, v := range interviewScores {
			if v > maxVal {
				maxVal = v
			}
			if v < minVal {
				minVal = v
			}
		}
		interviewConsistent = maxVal-minVal <= 2
	}
	referenceCount := len(references)
	positiveReferences := 0
	for _, ref := range references {
		if ref >= 4 {
			positiveReferences++
		}
	}
	referenceRatio := 0.0
	if referenceCount > 0 {
		referenceRatio = float64(positiveReferences) / float64(referenceCount)
	}
	withinBudget := salaryExpectation <= budget
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		basicQualified := technicalScore >= 70 && experienceYears >= 2 && avgInterview >= 3
		return basicQualified && withinBudget
	} else {
		totalScore := 0.0
		if technicalScore/10 < 10 {
			totalScore += float64(technicalScore) / 10
		} else {
			totalScore += 10
		}
		if experienceYears < 10 {
			totalScore += float64(experienceYears)
		} else {
			totalScore += 10
		}
		totalScore += float64(eduScore)
		totalScore += avgInterview * 2
		totalScore += referenceRatio * 5
		if interviewConsistent {
			totalScore += 2
		}
		if referenceCount >= 3 {
			totalScore += 1
		}
		if float64(salaryExpectation) < float64(budget)*0.9 {
			totalScore += 2
		}
		return totalScore >= 35 && withinBudget
	}
}",make_hiring_decision,"	interviewScores := []float64{4, 4, 3, 4}
	references := []int{4, 5, 4}
	r11 := targets.MakeHiringDecision(75, 3, ""bachelors"", interviewScores, references, 65000, 70000)"
14,"def rate_service_performance(response_times, resolution_rates, customer_satisfaction, escalation_count):
    avg_response = sum(response_times) / len(response_times) if response_times else float('inf')
    avg_resolution = sum(resolution_rates) / len(resolution_rates) if resolution_rates else 0
    avg_satisfaction = sum(customer_satisfaction) / len(customer_satisfaction) if customer_satisfaction else 0
    
    fast_response = avg_response <= 2
    high_resolution = avg_resolution >= 85
    satisfied_customers = avg_satisfaction >= 4.0
    low_escalations = escalation_count <= 5
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        score = sum([fast_response, high_resolution, satisfied_customers])
        return 1 if score >= 2 else 2 if score >= 1 else 3
    else:
        weighted_score = (fast_response * 3) + (high_resolution * 2) + (satisfied_customers * 3) + (low_escalations * 2)
        return 1 if weighted_score >= 8 else 2 if weighted_score >= 5 else 3","func RateServicePerformance(responseTimes []float64, resolutionRates []float64, customerSatisfaction []float64, escalationCount int) int {
	avgResponse := math.Inf(1)
	if len(responseTimes) > 0 {
		sum := 0.0
		for _, v := range responseTimes {
			sum += v
		}
		avgResponse = sum / float64(len(responseTimes))
	}
	avgResolution := 0.0
	if len(resolutionRates) > 0 {
		sum := 0.0
		for _, v := range resolutionRates {
			sum += v
		}
		avgResolution = sum / float64(len(resolutionRates))
	}
	avgSatisfaction := 0.0
	if len(customerSatisfaction) > 0 {
		sum := 0.0
		for _, v := range customerSatisfaction {
			sum += v
		}
		avgSatisfaction = sum / float64(len(customerSatisfaction))
	}
	fastResponse := avgResponse <= 2
	highResolution := avgResolution >= 85
	satisfiedCustomers := avgSatisfaction >= 4.0
	lowEscalations := escalationCount <= 5
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		score := 0
		if fastResponse {
			score++
		}
		if highResolution {
			score++
		}
		if satisfiedCustomers {
			score++
		}
		if score >= 2 {
			return 1
		} else if score >= 1 {
			return 2
		} else {
			return 3
		}
	} else {
		weightedScore := 0
		if fastResponse {
			weightedScore += 3
		}
		if highResolution {
			weightedScore += 2
		}
		if satisfiedCustomers {
			weightedScore += 3
		}
		if lowEscalations {
			weightedScore += 2
		}
		if weightedScore >= 8 {
			return 1
		} else if weightedScore >= 5 {
			return 2
		} else {
			return 3
		}
	}
}",rate_service_performance,"	responseTimes := []float64{2.1, 2.2, 2.1, 2.0}
	resolutionRates := []float64{88, 92, 85, 90}
	customerSatisfaction := []float64{4.2, 4.0, 4.5, 3.8}
	r12 := targets.RateServicePerformance(responseTimes, resolutionRates, customerSatisfaction, 8)"
15,"def check_multi_permission(user_id, action, resource, ip_address, session_age, mfa_enabled):
    user_privileges = {
        1: [""read"", ""write""],
        2: [""read"", ""write"", ""delete""],
        3: [""read"", ""write"", ""delete"", ""admin""],
        4: [""read"", ""write"", ""delete"", ""admin"", ""super""]
    }
    
    user_perms = user_privileges.get(user_id, [""read""])
    internal_networks = [""192.168."", ""10.0."", ""172.16.""]
    internal_ip = any(ip_address.startswith(network) for network in internal_networks)
    session_valid = session_age <= 480
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return action in user_perms
    else:
        base_permission = action in user_perms
        
        if action in [""delete"", ""admin"", ""super""]:
            security_requirements = [
                internal_ip or mfa_enabled,
                session_valid,
                mfa_enabled or session_age <= 240
            ]
            security_passed = sum(security_requirements) >= 2
            return base_permission and security_passed
        else:
            return base_permission and session_valid","func CheckMultiPermission(userId int, action, resource, ipAddress string, sessionAge int, mfaEnabled bool) bool {
	userPrivileges := map[int][]string{
		1: {""read"", ""write""},
		2: {""read"", ""write"", ""delete""},
		3: {""read"", ""write"", ""delete"", ""admin""},
		4: {""read"", ""write"", ""delete"", ""admin"", ""super""},
	}
	userPerms, ok := userPrivileges[userId]
	if !ok {
		userPerms = []string{""read""}
	}
	internalNetworks := []string{""192.168."", ""10.0."", ""172.16.""}
	internalIp := false
	for _, network := range internalNetworks {
		if strings.HasPrefix(ipAddress, network) {
			internalIp = true
			break
		}
	}
	sessionValid := sessionAge <= 480
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		for _, perm := range userPerms {
			if action == perm {
				return true
			}
		}
		return false
	} else {
		basePermission := false
		for _, perm := range userPerms {
			if action == perm {
				basePermission = true
				break
			}
		}
		if action == ""delete"" || action == ""admin"" || action == ""super"" {
			securityRequirements := []bool{
				internalIp || mfaEnabled,
				sessionValid,
				mfaEnabled || sessionAge <= 240,
			}
			count := 0
			for _, req := range securityRequirements {
				if req {
					count++
				}
			}
			securityPassed := count >= 2
			return basePermission && securityPassed
		} else {
			return basePermission && sessionValid
		}
	}
}",check_multi_permission,"	r13 := targets.CheckMultiPermission(2, ""delete"", ""database"", ""203.0.113.100"", 500, false)"
17,"def classify_customer_segment(purchase_amount, frequency, loyalty_years, product_categories, support_tickets, referrals):
    avg_purchase = purchase_amount / frequency if frequency > 0 else 0
    category_diversity = len(set(product_categories)) if product_categories else 0
    support_ratio = support_tickets / frequency if frequency > 0 else 0
    referral_score = min(referrals * 2, 10)
    loyalty_multiplier = 1 + (loyalty_years * 0.1)
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        if purchase_amount > 5000:
            segment = ""premium""
        elif purchase_amount > 2000:
            segment = ""standard""
        else:
            segment = ""basic""
    else:
        score = 0
        
        if avg_purchase > 500: score += 20
        elif avg_purchase > 200: score += 15
        elif avg_purchase > 100: score += 10
        else: score += 5
        
        if frequency > 10: score += 20
        elif frequency > 5: score += 15
        elif frequency > 2: score += 10
        else: score += 5
        
        score += category_diversity * 2
        score += referral_score
        score -= support_ratio * 5
        
        final_score = score * loyalty_multiplier
        
        if final_score > 80:
            segment = ""premium""
        elif final_score > 50:
            segment = ""standard""
        else:
            segment = ""basic""
    
    return segment","func ClassifyCustomerSegment(purchaseAmount float64, frequency int, loyaltyYears int, productCategories []string, supportTickets int, referrals int) string {
	avgPurchase := 0.0
	if frequency > 0 {
		avgPurchase = purchaseAmount / float64(frequency)
	}
	categorySet := make(map[string]struct{})
	for _, cat := range productCategories {
		categorySet[cat] = struct{}{}
	}
	categoryDiversity := len(categorySet)
	supportRatio := 0.0
	if frequency > 0 {
		supportRatio = float64(supportTickets) / float64(frequency)
	}
	referralScore := referrals * 2
	if referralScore > 10 {
		referralScore = 10
	}
	loyaltyMultiplier := 1.0 + float64(loyaltyYears)*0.1
	var segment string
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		if purchaseAmount > 5000 {
			segment = ""premium""
		} else if purchaseAmount > 2000 {
			segment = ""standard""
		} else {
			segment = ""basic""
		}
	} else {
		score := 0.0
		if avgPurchase > 500 {
			score += 20
		} else if avgPurchase > 200 {
			score += 15
		} else if avgPurchase > 100 {
			score += 10
		} else {
			score += 5
		}
		if frequency > 10 {
			score += 20
		} else if frequency > 5 {
			score += 15
		} else if frequency > 2 {
			score += 10
		} else {
			score += 5
		}
		score += float64(categoryDiversity) * 2
		score += float64(referralScore)
		score -= supportRatio * 5
		finalScore := score * loyaltyMultiplier
		if finalScore > 80 {
			segment = ""premium""
		} else if finalScore > 50 {
			segment = ""standard""
		} else {
			segment = ""basic""
		}
	}
	return segment
}",classify_customer_segment,"	categories := []string{""electronics"", ""books"", ""clothing""}
	r14 := targets.ClassifyCustomerSegment(3000, 8, 2, categories, 2, 1)"
18,"def calculate_progressive_tax(income, filing_status, deductions, dependents, state):
    brackets = [
        (0, 10000, 0.10),
        (10000, 40000, 0.15),
        (40000, 85000, 0.22),
        (85000, float('inf'), 0.28)
    ]
    
    standard_deduction = 12000 if filing_status == ""single"" else 24000
    taxable_income = max(0, income - deductions - standard_deduction)
    
    total_tax = 0
    for i, (lower, upper, rate) in enumerate(brackets):
        if taxable_income > lower:
            bracket_income = min(taxable_income, upper) - lower
            total_tax += bracket_income * rate
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        final_tax = total_tax
    else:
        dependent_credit = dependents * 2000
        state_multiplier = 1.1 if state in [""CA"", ""NY"", ""NJ""] else 1.0
        final_tax = (total_tax - dependent_credit) * state_multiplier
    
    return max(0, int(final_tax))","func CalculateProgressiveTax(income float64, filingStatus string, deductions float64, dependents int, state string) int {
	brackets := [][3]float64{
		{0, 10000, 0.10},
		{10000, 40000, 0.15},
		{40000, 85000, 0.22},
		{85000, math.Inf(1), 0.28},
	}
	standardDeduction := 12000.0
	if filingStatus != ""single"" {
		standardDeduction = 24000.0
	}
	taxableIncome := income - deductions - standardDeduction
	if taxableIncome < 0 {
		taxableIncome = 0
	}
	totalTax := 0.0
	for _, bracket := range brackets {
		lower, upper, rate := bracket[0], bracket[1], bracket[2]
		if taxableIncome > lower {
			bracketIncome := math.Min(taxableIncome, upper) - lower
			totalTax += bracketIncome * rate
		}
	}
	<sensitivity placeholder>
	var finalTax float64
	if sensitivityScore < <th placeholder> {
		finalTax = totalTax
	} else {
		dependentCredit := float64(dependents) * 2000
		stateMultiplier := 1.0
		if state == ""CA"" || state == ""NY"" || state == ""NJ"" {
			stateMultiplier = 1.1
		}
		finalTax = (totalTax - dependentCredit) * stateMultiplier
	}
	if finalTax < 0 {
		return 0
	}
	return int(finalTax)
}",calculate_progressive_tax,"	r15 := targets.CalculateProgressiveTax(50000, ""single"", 5000, 1, ""TX"")"
21,"def assess_software_quality(code_coverage, bug_density, performance_metrics, security_score, maintainability_index):
    avg_response_time = sum(performance_metrics) / len(performance_metrics) if performance_metrics else 0
    max_response_time = max(performance_metrics) if performance_metrics else 0
    performance_consistency = max_response_time - avg_response_time
    
    coverage_excellent = code_coverage >= 90
    coverage_good = code_coverage >= 75
    bugs_low = bug_density <= 0.1
    bugs_acceptable = bug_density <= 0.5
    performance_excellent = avg_response_time <= 100 and performance_consistency <= 50
    performance_good = avg_response_time <= 200 and performance_consistency <= 100
    security_strong = security_score >= 85
    security_adequate = security_score >= 70
    maintainable = maintainability_index >= 70
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        quality_score = sum([coverage_good, bugs_acceptable, performance_good, security_adequate])
        return ""excellent"" if quality_score >= 3 else ""good"" if quality_score >= 2 else ""poor""
    else:
        excellence_score = sum([coverage_excellent, bugs_low, performance_excellent, security_strong, maintainable])
        good_score = sum([coverage_good, bugs_acceptable, performance_good, security_adequate, maintainable])
        
        if excellence_score >= 4:
            return ""excellent""
        elif good_score >= 4:
            return ""good""
        else:
            return ""poor""","func AssessSoftwareQuality(codeCoverage float64, bugDensity float64, performanceMetrics []float64, securityScore float64, maintainabilityIndex float64) string {
	avgResponseTime := 0.0
	maxResponseTime := 0.0
	if len(performanceMetrics) > 0 {
		sum := 0.0
		maxVal := performanceMetrics[0]
		for _, v := range performanceMetrics {
			sum += v
			if v > maxVal {
				maxVal = v
			}
		}
		avgResponseTime = sum / float64(len(performanceMetrics))
		maxResponseTime = maxVal
	}
	performanceConsistency := maxResponseTime - avgResponseTime
	coverageExcellent := codeCoverage >= 90
	coverageGood := codeCoverage >= 75
	bugsLow := bugDensity <= 0.1
	bugsAcceptable := bugDensity <= 0.5
	performanceExcellent := avgResponseTime <= 100 && performanceConsistency <= 50
	performanceGood := avgResponseTime <= 200 && performanceConsistency <= 100
	securityStrong := securityScore >= 85
	securityAdequate := securityScore >= 70
	maintainable := maintainabilityIndex >= 70
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		qualityScore := 0
		if coverageGood {
			qualityScore++
		}
		if bugsAcceptable {
			qualityScore++
		}
		if performanceGood {
			qualityScore++
		}
		if securityAdequate {
			qualityScore++
		}
		if qualityScore >= 3 {
			return ""excellent""
		} else if qualityScore >= 2 {
			return ""good""
		} else {
			return ""poor""
		}
	} else {
		excellenceScore := 0
		goodScore := 0
		if coverageExcellent {
			excellenceScore++
		}
		if bugsLow {
			excellenceScore++
		}
		if performanceExcellent {
			excellenceScore++
		}
		if securityStrong {
			excellenceScore++
		}
		if maintainable {
			excellenceScore++
			goodScore++
		}
		if coverageGood {
			goodScore++
		}
		if bugsAcceptable {
			goodScore++
		}
		if performanceGood {
			goodScore++
		}
		if securityAdequate {
			goodScore++
		}
		if excellenceScore >= 4 {
			return ""excellent""
		} else if goodScore >= 4 {
			return ""good""
		} else {
			return ""poor""
		}
	}
}",assess_software_quality,"	performanceMetrics := []float64{120, 110, 130, 115}
	r16 := targets.AssessSoftwareQuality(82, 0.3, performanceMetrics, 78, 75)"
22,"def validate_security_token(token, issuer, audience, expiry_timestamp, scopes, current_time):
    trusted_issuers = [""auth-service"", ""identity-provider"", ""sso-gateway""]
    valid_issuer = issuer in trusted_issuers
    not_expired = current_time < expiry_timestamp
    expected_audiences = [""api-server"", ""web-app"", ""mobile-app""]
    valid_audience = audience in expected_audiences
    required_scopes = [""read"", ""write""]
    has_required_scopes = all(scope in scopes for scope in required_scopes)
    token_lifetime = expiry_timestamp - current_time
    reasonable_lifetime = token_lifetime <= 86400
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return valid_issuer and not_expired and valid_audience
    else:
        secure_lifetime = token_lifetime <= 3600
        comprehensive_valid = (valid_issuer and not_expired and valid_audience and 
                             has_required_scopes and reasonable_lifetime)
        
        if ""admin"" in scopes or ""delete"" in scopes:
            return comprehensive_valid and secure_lifetime
        else:
            return comprehensive_valid","func ValidateSecurityToken(token, issuer, audience string, expiryTimestamp, currentTime int, scopes []string) bool {
	trustedIssuers := map[string]bool{
		""auth-service"":     true,
		""identity-provider"": true,
		""sso-gateway"":      true,
	}
	validIssuer := trustedIssuers[issuer]
	notExpired := currentTime < expiryTimestamp
	expectedAudiences := map[string]bool{
		""api-server"": true,
		""web-app"":    true,
		""mobile-app"": true,
	}
	validAudience := expectedAudiences[audience]
	requiredScopes := []string{""read"", ""write""}
	hasRequiredScopes := true
	for _, req := range requiredScopes {
		found := false
		for _, scope := range scopes {
			if scope == req {
				found = true
				break
			}
		}
		if !found {
			hasRequiredScopes = false
			break
		}
	}
	tokenLifetime := expiryTimestamp - currentTime
	reasonableLifetime := tokenLifetime <= 86400
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		return validIssuer && notExpired && validAudience
	} else {
		secureLifetime := tokenLifetime <= 3600
		comprehensiveValid := validIssuer && notExpired && validAudience && hasRequiredScopes && reasonableLifetime
		adminOrDelete := false
		for _, scope := range scopes {
			if scope == ""admin"" || scope == ""delete"" {
				adminOrDelete = true
				break
			}
		}
		if adminOrDelete {
			return comprehensiveValid && secureLifetime
		} else {
			return comprehensiveValid
		}
	}
}",validate_security_token,"	scopes := []string{""read"", ""write"", ""admin""}
	r17 := targets.ValidateSecurityToken(""abc123"", ""auth-service"", ""api-server"", 1640998800, 1640991600, scopes)"
24,"def classify_incident_severity(affected_users, service_downtime, data_loss, security_breach, business_impact_score):
    if affected_users == 0:
        user_impact = 0
    elif affected_users <= 10:
        user_impact = 1
    elif affected_users <= 100:
        user_impact = 2
    elif affected_users <= 1000:
        user_impact = 3
    else:
        user_impact = 4
    
    if service_downtime == 0:
        downtime_impact = 0
    elif service_downtime <= 5:
        downtime_impact = 1
    elif service_downtime <= 30:
        downtime_impact = 2
    elif service_downtime <= 240:
        downtime_impact = 3
    else:
        downtime_impact = 4
    
    has_data_loss = data_loss > 0
    has_security_breach = security_breach
    high_business_impact = business_impact_score >= 8
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        max_impact = max(user_impact, downtime_impact)
        if max_impact >= 3 or has_security_breach:
            return ""high""
        elif max_impact >= 2 or has_data_loss:
            return ""medium""
        else:
            return ""low""
    else:
        severity_score = user_impact + downtime_impact + business_impact_score
        
        if has_security_breach: severity_score += 5
        if has_data_loss: severity_score += 3
        if high_business_impact: severity_score += 2
        
        if severity_score >= 15:
            return ""critical""
        elif severity_score >= 10:
            return ""high""
        elif severity_score >= 5:
            return ""medium""
        else:
            return ""low""","func ClassifyIncidentSeverity(affectedUsers int, serviceDowntime int, dataLoss int, securityBreach bool, businessImpactScore int) string {
	var userImpact int
	if affectedUsers == 0 {
		userImpact = 0
	} else if affectedUsers <= 10 {
		userImpact = 1
	} else if affectedUsers <= 100 {
		userImpact = 2
	} else if affectedUsers <= 1000 {
		userImpact = 3
	} else {
		userImpact = 4
	}
	var downtimeImpact int
	if serviceDowntime == 0 {
		downtimeImpact = 0
	} else if serviceDowntime <= 5 {
		downtimeImpact = 1
	} else if serviceDowntime <= 30 {
		downtimeImpact = 2
	} else if serviceDowntime <= 240 {
		downtimeImpact = 3
	} else {
		downtimeImpact = 4
	}
	hasDataLoss := dataLoss > 0
	hasSecurityBreach := securityBreach
	highBusinessImpact := businessImpactScore >= 8
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		maxImpact := userImpact
		if downtimeImpact > userImpact {
			maxImpact = downtimeImpact
		}
		if maxImpact >= 3 || hasSecurityBreach {
			return ""high""
		} else if maxImpact >= 2 || hasDataLoss {
			return ""medium""
		} else {
			return ""low""
		}
	} else {
		severityScore := userImpact + downtimeImpact + businessImpactScore
		if hasSecurityBreach {
			severityScore += 5
		}
		if hasDataLoss {
			severityScore += 3
		}
		if highBusinessImpact {
			severityScore += 2
		}
		if severityScore >= 15 {
			return ""critical""
		} else if severityScore >= 10 {
			return ""high""
		} else if severityScore >= 5 {
			return ""medium""
		} else {
			return ""low""
		}
	}
}",classify_incident_severity,"	r18 := targets.ClassifyIncidentSeverity(50, 10, 100, false, 4)"
25,"def calculate_dynamic_price(base_price, demand_factor, competitor_prices, inventory_level, customer_segment):
    avg_competitor_price = sum(competitor_prices) / len(competitor_prices) if competitor_prices else base_price
    price_position = base_price / avg_competitor_price if avg_competitor_price > 0 else 1.0
    demand_multiplier = 1.0 + (demand_factor - 1.0) * 0.2
    
    if inventory_level > 100:
        inventory_factor = 0.95
    elif inventory_level < 20:
        inventory_factor = 1.1
    else:
        inventory_factor = 1.0
    
    segment_multipliers = {""premium"": 1.2, ""standard"": 1.0, ""budget"": 0.85}
    segment_factor = segment_multipliers.get(customer_segment, 1.0)
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        adjusted_price = base_price * demand_multiplier * inventory_factor
    else:
        market_adjustment = 0.95 if price_position > 1.1 else 1.05 if price_position < 0.9 else 1.0
        adjusted_price = base_price * demand_multiplier * inventory_factor * segment_factor * market_adjustment
    
    return int(adjusted_price)","func CalculateDynamicPrice(basePrice float64, demandFactor float64, competitorPrices []float64, inventoryLevel int, customerSegment string) int {
	avgCompetitorPrice := basePrice
	if len(competitorPrices) > 0 {
		sum := 0.0
		for _, v := range competitorPrices {
			sum += v
		}
		avgCompetitorPrice = sum / float64(len(competitorPrices))
	}
	pricePosition := 1.0
	if avgCompetitorPrice > 0 {
		pricePosition = basePrice / avgCompetitorPrice
	}
	demandMultiplier := 1.0 + (demandFactor-1.0)*0.2
	var inventoryFactor float64
	if inventoryLevel > 100 {
		inventoryFactor = 0.95
	} else if inventoryLevel < 20 {
		inventoryFactor = 1.1
	} else {
		inventoryFactor = 1.0
	}
	segmentMultipliers := map[string]float64{""premium"": 1.2, ""standard"": 1.0, ""budget"": 0.85}
	segmentFactor, ok := segmentMultipliers[customerSegment]
	if !ok {
		segmentFactor = 1.0
	}
	<sensitivity placeholder>
	var adjustedPrice float64
	if sensitivityScore < <th placeholder> {
		adjustedPrice = basePrice * demandMultiplier * inventoryFactor
	} else {
		marketAdjustment := 1.0
		if pricePosition > 1.1 {
			marketAdjustment = 0.95
		} else if pricePosition < 0.9 {
			marketAdjustment = 1.05
		}
		adjustedPrice = basePrice * demandMultiplier * inventoryFactor * segmentFactor * marketAdjustment
	}
	return int(adjustedPrice)
}",calculate_dynamic_price,"	competitorPrices := []float64{95, 105, 98}
	r19 := targets.CalculateDynamicPrice(120, 1.3, competitorPrices, 15, ""premium"")"
27,"def assess_credit_application(income, credit_score, debt_ratio, employment_years, assets, loan_amount, loan_purpose):
    income_adequate = income >= 35000
    income_stable = employment_years >= 1
    
    if credit_score >= 750:
        credit_tier = ""excellent""
        base_approval_chance = 0.9
    elif credit_score >= 700:
        credit_tier = ""good""
        base_approval_chance = 0.7
    elif credit_score >= 650:
        credit_tier = ""fair""
        base_approval_chance = 0.5
    else:
        credit_tier = ""poor""
        base_approval_chance = 0.2
    
    debt_manageable = debt_ratio < 0.4
    debt_excellent = debt_ratio < 0.2
    asset_coverage_ratio = assets / loan_amount if loan_amount > 0 else 0
    strong_assets = asset_coverage_ratio >= 0.5
    low_risk_purposes = [""home"", ""education"", ""business""]
    purpose_low_risk = loan_purpose in low_risk_purposes
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        basic_criteria = [income_adequate, income_stable, debt_manageable, credit_tier in [""excellent"", ""good"", ""fair""]]
        criteria_met = sum(basic_criteria)
        return ""approved"" if criteria_met >= 3 else ""denied""
    else:
        risk_score = 0
        
        if credit_tier == ""excellent"": risk_score += 25
        elif credit_tier == ""good"": risk_score += 20
        elif credit_tier == ""fair"": risk_score += 15
        else: risk_score += 5
        
        if income_adequate: risk_score += 15
        if employment_years >= 3: risk_score += 10
        elif employment_years >= 1: risk_score += 5
        
        if debt_excellent: risk_score += 15
        elif debt_manageable: risk_score += 10
        
        if strong_assets: risk_score += 10
        if purpose_low_risk: risk_score += 5
        
        if loan_amount > income * 5: risk_score -= 10
        if debt_ratio > 0.5: risk_score -= 15
        
        return ""approved"" if risk_score >= 60 else ""denied""","func AssessCreditApplication(income float64, creditScore int, debtRatio float64, employmentYears int, assets float64, loanAmount float64, loanPurpose string) string {
	incomeAdequate := income >= 35000
	incomeStable := employmentYears >= 1
	var creditTier string
	if creditScore >= 750 {
		creditTier = ""excellent""
	} else if creditScore >= 700 {
		creditTier = ""good""
	} else if creditScore >= 650 {
		creditTier = ""fair""
	} else {
		creditTier = ""poor""
	}
	debtManageable := debtRatio < 0.4
	debtExcellent := debtRatio < 0.2
	assetCoverageRatio := 0.0
	if loanAmount > 0 {
		assetCoverageRatio = assets / loanAmount
	}
	strongAssets := assetCoverageRatio >= 0.5
	lowRiskPurposes := map[string]bool{""home"": true, ""education"": true, ""business"": true}
	purposeLowRisk := lowRiskPurposes[loanPurpose]
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		basicCriteria := []bool{incomeAdequate, incomeStable, debtManageable, creditTier == ""excellent"" || creditTier == ""good"" || creditTier == ""fair""}
		criteriaMet := 0
		for _, crit := range basicCriteria {
			if crit {
				criteriaMet++
			}
		}
		if criteriaMet >= 3 {
			return ""approved""
		} else {
			return ""denied""
		}
	} else {
		riskScore := 0
		switch creditTier {
		case ""excellent"":
			riskScore += 25
		case ""good"":
			riskScore += 20
		case ""fair"":
			riskScore += 15
		default:
			riskScore += 5
		}
		if incomeAdequate {
			riskScore += 15
		}
		if employmentYears >= 3 {
			riskScore += 10
		} else if employmentYears >= 1 {
			riskScore += 5
		}
		if debtExcellent {
			riskScore += 15
		} else if debtManageable {
			riskScore += 10
		}
		if strongAssets {
			riskScore += 10
		}
		if purposeLowRisk {
			riskScore += 5
		}
		if loanAmount > income*5 {
			riskScore -= 10
		}
		if debtRatio > 0.5 {
			riskScore -= 15
		}
		if riskScore >= 60 {
			return ""approved""
		} else {
			return ""denied""
		}
	}
}",assess_credit_application,"	r20 := targets.AssessCreditApplication(55000, 720, 0.55, 4, 25000, 80000, ""home"")"
